"Date","Price","Open","High","Low","Change %"
"12/06/2024","3.9740","4.0150","4.0380","3.9360","-1.00%"
"12/05/2024","4.0142","4.0127","4.0607","4.0050","0.19%"
"12/04/2024","4.0066","4.0573","4.1030","3.9934","-0.99%"
"12/03/2024","4.0468","4.0400","4.0640","4.0059","-0.84%"
"12/02/2024","4.0810","4.0141","4.0930","4.0141","0.15%"
"11/29/2024","4.0750","4.0926","4.1050","4.0002","0.00%"
"11/28/2024","4.0750","4.0890","4.1040","4.0880","0.00%"
"11/27/2024","4.0750","4.1368","4.1570","4.0559","-1.64%"
"11/26/2024","4.1430","4.1090","4.1620","4.0922","0.98%"
"11/25/2024","4.1029","4.1607","4.1980","4.0940","-2.66%"
"11/22/2024","4.2150","4.2260","4.2310","4.1793","0.48%"
"11/21/2024","4.1950","4.1996","4.2320","4.1580","0.00%"
"11/20/2024","4.1950","4.1747","4.2200","4.1605","0.89%"
"11/19/2024","4.1578","4.1890","4.1910","4.1028","-0.42%"
"11/18/2024","4.1755","4.2092","4.2500","4.1755","-0.59%"
"11/15/2024","4.2003","4.2380","4.2940","4.1701","-0.16%"
"11/14/2024","4.2070","4.2014","4.2610","4.1593","0.00%"
"11/13/2024","4.2070","4.2226","4.2467","4.1377","-0.50%"
"11/12/2024","4.2280","4.1265","4.2490","4.1265","2.46%"
"11/11/2024","4.1265","4.1265","4.1265","4.1265","-0.13%"
"11/08/2024","4.1320","4.0974","4.1420","4.0510","-1.19%"
"11/07/2024","4.1816","4.1888","4.2120","4.0834","0.00%"
"11/06/2024","4.1816","4.0505","4.2241","4.0269","2.88%"
"11/05/2024","4.0645","4.0470","4.1370","4.0391","-0.14%"
"11/04/2024","4.0700","4.1100","4.1110","4.0103","-0.78%"
"11/01/2024","4.1020","4.0594","4.1290","3.9632","1.58%"
"10/31/2024","4.0380","4.0770","4.1156","4.0341","0.00%"
"10/30/2024","4.0380","3.9881","4.0810","3.9568","0.55%"
"10/29/2024","4.0160","4.0418","4.0850","3.9863","-0.37%"
"10/28/2024","4.0310","4.0244","4.0580","3.9825","1.03%"
"10/25/2024","3.9900","3.9759","4.0110","3.9292","-0.35%"
"10/24/2024","4.0040","4.0075","4.0130","3.9339","0.00%"
"10/23/2024","4.0040","3.9574","4.0130","3.9530","1.26%"
"10/22/2024","3.9540","3.9428","3.9660","3.9128","0.69%"
"10/21/2024","3.9270","3.8424","3.9510","3.8230","2.51%"
"10/18/2024","3.8310","3.8452","3.8640","3.8122","1.08%"
"10/17/2024","3.7900","3.7960","3.8610","3.7887","0.00%"
"10/16/2024","3.7900","3.8040","3.8090","3.7656","-0.37%"
"10/15/2024","3.8040","3.8440","3.8570","3.7874","-1.15%"
"10/14/2024","3.8481","3.8440","3.8540","3.8440","0.71%"
"10/11/2024","3.8210","3.8360","3.8685","3.8147","-1.11%"
"10/10/2024","3.8640","3.8685","3.8978","3.8157","0.18%"
"10/09/2024","3.8570","3.7953","3.8730","3.7870","1.09%"
"10/08/2024","3.8154","3.8230","3.8390","3.7724","-0.02%"
"10/07/2024","3.8162","3.7724","3.8400","3.7601","1.23%"
"10/04/2024","3.7697","3.5840","3.7732","3.5590","7.46%"
"10/03/2024","3.5080","3.5130","3.5917","3.4890","0.00%"
"10/02/2024","3.5080","3.4660","3.5360","3.4460","0.86%"
"10/01/2024","3.4780","3.5180","3.5230","3.4240","-1.69%"
"09/30/2024","3.5379","3.4673","3.5439","3.4613","2.04%"
"09/27/2024","3.4670","3.5260","3.5387","3.4510","-0.52%"
"09/26/2024","3.4850","3.4820","3.5370","3.4562","0.00%"
"09/25/2024","3.4850","3.4430","3.5009","3.4360","0.81%"
"09/24/2024","3.4570","3.4848","3.5310","3.4386","-0.60%"
"09/23/2024","3.4778","3.4745","3.5300","3.4580","0.60%"
"09/20/2024","3.4570","3.4574","3.5100","3.4300","0.00%"
