"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","83.20","91.48","91.48","83.20","","-9.05%"
"12/05/2024","91.48","92.25","92.25","91.48","","-0.83%"
"12/04/2024","92.25","95.60","95.60","92.25","","-3.50%"
"12/03/2024","95.60","97.81","97.81","95.60","","-2.26%"
"12/02/2024","97.81","95.22","97.81","95.22","","2.72%"
"11/29/2024","95.22","97.74","97.74","95.22","","-2.58%"
"11/27/2024","97.74","99.18","99.18","97.74","","-1.45%"
"11/26/2024","99.18","99.96","99.96","99.18","","-0.78%"
"11/25/2024","99.96","99.14","99.96","99.14","","0.83%"
"11/22/2024","99.14","101.90","101.90","99.14","","-2.71%"
"11/21/2024","101.90","106.69","106.69","101.90","","-4.49%"
"11/20/2024","106.69","105.12","106.69","105.12","","1.49%"
"11/19/2024","105.12","102.01","105.12","102.01","","3.05%"
"11/18/2024","102.01","102.47","102.47","102.01","","-0.45%"
"11/15/2024","102.47","99.43","102.47","99.43","","3.06%"
"11/14/2024","99.43","102.08","102.08","99.43","","-2.60%"
"11/13/2024","102.08","108.55","108.55","102.08","","-5.96%"
"11/12/2024","108.55","99.85","108.55","99.85","","8.71%"
"11/08/2024","99.85","104.08","104.08","99.85","","-4.06%"
"11/07/2024","104.08","117.64","117.64","104.08","","-11.53%"
"11/06/2024","117.64","130.43","130.43","117.64","","-9.81%"
"11/05/2024","130.43","136.25","136.25","130.43","","-4.27%"
"11/04/2024","136.25","132.58","136.25","132.58","","2.77%"
"11/01/2024","132.58","135.18","135.18","132.58","","-1.92%"
"10/31/2024","135.18","130.80","135.18","130.80","","3.35%"
"10/30/2024","130.80","131.87","131.87","130.80","","-0.81%"
"10/29/2024","131.87","130.92","131.87","130.92","","0.73%"
"10/28/2024","130.92","128.40","130.92","128.40","","1.96%"
"10/25/2024","128.40","127.48","128.40","127.48","","0.72%"
"10/24/2024","127.48","129.05","129.05","127.48","","-1.22%"
"10/23/2024","129.05","129.26","129.26","129.05","","-0.16%"
"10/22/2024","129.26","128.95","129.26","128.95","","0.24%"
"10/21/2024","128.95","123.13","128.95","123.13","","4.73%"
"10/18/2024","123.13","122.14","123.13","122.14","","0.81%"
"10/17/2024","122.14","121.86","122.14","121.86","","0.23%"
"10/16/2024","121.86","127.23","127.23","121.86","","-4.22%"
"10/15/2024","127.23","118.47","127.23","118.47","","7.39%"
"10/11/2024","118.47","116.56","118.47","116.56","","1.64%"
"10/10/2024","116.56","122.39","122.39","116.56","","-4.76%"
"10/09/2024","122.39","123.77","123.77","122.39","","-1.11%"
"10/08/2024","123.77","124.23","124.23","123.77","","-0.37%"
"10/07/2024","124.23","100.15","124.23","100.15","","24.04%"
"10/04/2024","100.15","101.16","101.16","100.15","","-1.00%"
"10/03/2024","101.16","102.17","102.17","101.16","","-0.99%"
"10/02/2024","102.17","104.14","104.14","102.17","","-1.89%"
"10/01/2024","104.14","94.61","104.14","94.61","","10.07%"
"09/30/2024","94.61","92.53","94.61","92.53","","2.25%"
"09/27/2024","92.53","90.14","92.53","90.14","","2.65%"
"09/26/2024","90.14","91.64","91.64","90.14","","-1.64%"
"09/25/2024","91.64","93.30","93.30","91.64","","-1.78%"
"09/24/2024","93.30","93.87","93.87","93.30","","-0.61%"
"09/23/2024","93.87","91.00","93.87","91.00","","3.15%"
"09/20/2024","91.00","92.64","92.64","91.00","","-1.77%"
"09/19/2024","92.64","98.61","98.61","92.64","","-6.05%"
"09/18/2024","98.61","101.58","101.58","98.61","","-2.92%"
"09/17/2024","101.58","101.22","101.58","101.22","","0.36%"
"09/16/2024","101.22","100.60","101.22","100.60","","0.62%"
"09/13/2024","100.60","98.03","100.60","98.03","","2.62%"
"09/12/2024","98.03","103.79","103.79","98.03","","-5.55%"
"09/11/2024","103.79","108.36","108.36","103.79","","-4.22%"
"09/10/2024","108.36","104.61","108.36","104.61","","3.58%"
"09/09/2024","104.61","107.24","107.24","104.61","","-2.45%"
"09/06/2024","107.24","114.81","114.81","107.24","","-6.59%"
"09/05/2024","114.81","119.15","119.15","114.81","","-3.64%"
"09/04/2024","119.15","114.20","119.15","114.20","","4.33%"
"09/03/2024","114.20","107.77","114.20","107.77","","5.97%"
"08/30/2024","107.77","106.70","107.77","106.70","","1.00%"
"08/29/2024","106.70","108.76","108.76","106.70","","-1.89%"
"08/28/2024","108.76","109.22","109.22","108.76","","-0.42%"
"08/27/2024","109.22","106.66","109.22","106.66","","2.40%"
"08/26/2024","106.66","105.63","106.66","105.63","","0.98%"
"08/23/2024","105.63","108.50","108.50","105.63","","-2.65%"
"08/22/2024","108.50","111.38","111.38","108.50","","-2.59%"
"08/21/2024","111.38","111.57","111.57","111.38","","-0.17%"
"08/20/2024","111.57","110.13","111.57","110.13","","1.31%"
"08/19/2024","110.13","102.81","110.13","102.81","","7.12%"
"08/16/2024","102.81","103.74","103.74","102.81","","-0.90%"
"08/15/2024","103.74","106.34","106.34","103.74","","-2.44%"
"08/14/2024","106.34","118.44","118.44","106.34","","-10.22%"
"08/13/2024","118.44","118.26","118.44","118.26","","0.15%"
"08/12/2024","118.26","108.26","118.26","108.26","","9.24%"
"08/09/2024","108.26","110.42","110.42","108.26","","-1.96%"
"08/08/2024","110.42","112.69","112.69","110.42","","-2.01%"
"08/07/2024","112.69","119.24","119.24","112.69","","-5.49%"
"08/06/2024","119.24","121.22","121.22","119.24","","-1.63%"
"08/05/2024","121.22","112.26","121.22","112.26","","7.98%"
"08/02/2024","112.26","101.82","112.26","101.82","","10.25%"
"08/01/2024","101.82","99.41","101.82","99.41","","2.42%"
"07/31/2024","99.41","100.42","100.42","99.41","","-1.01%"
"07/30/2024","100.42","98.65","100.42","98.65","","1.79%"
"07/29/2024","98.65","97.76","98.65","97.76","","0.91%"
"07/26/2024","97.76","99.08","99.08","97.76","","-1.33%"
"07/25/2024","99.08","94.81","99.08","94.81","","4.50%"
"07/24/2024","94.81","95.04","95.04","94.81","","-0.24%"
"07/23/2024","95.04","94.45","95.04","94.45","","0.62%"
"07/22/2024","94.45","94.29","94.45","94.29","","0.17%"
"07/19/2024","94.29","91.97","94.29","91.97","","2.52%"
"07/18/2024","91.97","91.00","91.97","91.00","","1.07%"
"07/17/2024","91.00","93.87","93.87","91.00","","-3.06%"
"07/16/2024","93.87","94.50","94.50","93.87","","-0.67%"
"07/15/2024","94.50","86.79","94.50","86.79","","8.88%"
"07/12/2024","86.79","89.67","89.67","86.79","","-3.21%"
"07/11/2024","89.67","92.97","92.97","89.67","","-3.55%"
"07/10/2024","92.97","95.62","95.62","92.97","","-2.77%"
"07/09/2024","95.62","97.96","97.96","95.62","","-2.39%"
"07/08/2024","97.96","98.78","98.78","97.96","","-0.83%"
"07/05/2024","98.78","102.83","102.83","98.78","","-3.94%"
"07/03/2024","102.83","107.51","107.51","102.83","","-4.35%"
"07/02/2024","107.51","106.23","107.51","106.23","","1.20%"
"07/01/2024","106.23","98.59","106.23","98.59","","7.75%"
"06/28/2024","98.59","95.69","98.59","95.69","","3.03%"
"06/27/2024","95.69","97.91","97.91","95.69","","-2.27%"
"06/26/2024","97.91","96.97","97.91","96.97","","0.97%"
"06/25/2024","96.97","95.20","96.97","95.20","","1.86%"
"06/24/2024","95.20","94.09","95.20","94.09","","1.18%"
"06/21/2024","94.09","94.14","94.14","94.09","","-0.05%"
"06/20/2024","94.14","97.99","97.99","94.14","","-3.93%"
"06/18/2024","97.99","99.07","99.07","97.99","","-1.09%"
"06/17/2024","99.07","100.16","100.16","99.07","","-1.09%"
"06/14/2024","100.16","91.93","100.16","91.93","","8.95%"
"06/13/2024","91.93","91.73","91.93","91.73","","0.22%"
"06/12/2024","91.73","97.27","97.27","91.73","","-5.70%"
"06/11/2024","97.27","94.16","97.27","94.16","","3.30%"
"06/10/2024","94.16","91.82","94.16","91.82","","2.55%"
"06/07/2024","91.82","100.99","100.99","91.82","","-9.08%"
"06/06/2024","100.99","102.43","102.43","100.99","","-1.41%"
"06/05/2024","102.43","100.11","102.43","100.11","","2.32%"
"06/04/2024","100.11","93.92","100.11","93.92","","6.59%"
"06/03/2024","93.92","91.14","93.92","91.14","","3.05%"
"05/31/2024","91.14","91.09","91.14","91.09","","0.05%"
"05/30/2024","91.09","93.45","93.45","91.09","","-2.53%"
"05/29/2024","93.45","89.67","93.45","89.67","","4.22%"
"05/28/2024","89.67","83.57","89.67","83.57","","7.30%"
"05/24/2024","83.57","86.15","86.15","83.57","","-2.99%"
"05/23/2024","86.15","82.49","86.15","82.49","","4.44%"
"05/22/2024","82.49","85.34","85.34","82.49","","-3.34%"
"05/21/2024","85.34","88.13","88.13","85.34","","-3.17%"
