"Date","Price","Open","High","Low","Change %"
"01/15/2025","4.5220","4.5240","4.5250","4.5210","-0.13%"
"01/14/2025","4.5280","4.5440","4.5510","4.5160","-0.53%"
"01/13/2025","4.5520","4.5330","4.5670","4.5330","0.26%"
"01/10/2025","4.5400","4.4570","4.5430","4.4500","1.89%"
"01/09/2025","4.4560","4.4710","4.4740","4.4450","-0.45%"
"01/08/2025","4.4760","4.4800","4.4930","4.4510","-0.13%"
"01/07/2025","4.4820","4.4660","4.5030","4.4600","0.43%"
"01/06/2025","4.4630","4.4710","4.4760","4.4430","-0.07%"
"01/03/2025","4.4660","4.4490","4.4700","4.4390","0.31%"
"01/02/2025","4.4520","4.4470","4.4610","4.4240","0.11%"
"01/01/2025","4.4470","4.4470","4.4550","4.4460","0.00%"
"12/31/2024","4.4470","4.4400","4.4550","4.4240","0.04%"
"12/30/2024","4.4450","4.4880","4.4890","4.4380","-0.87%"
"12/27/2024","4.4840","4.4980","4.5030","4.4740","-0.40%"
"12/26/2024","4.5020","4.5020","4.5200","4.4300","-0.02%"
"12/25/2024","4.5030","4.5020","4.5090","4.5020","0.00%"
"12/24/2024","4.5030","4.5100","4.5200","4.4990","-0.35%"
"12/23/2024","4.5190","4.4950","4.5250","4.4900","0.47%"
"12/20/2024","4.4980","4.5100","4.5120","4.4690","-0.11%"
"12/19/2024","4.5030","4.5430","4.5460","4.4890","-0.73%"
"12/18/2024","4.5360","4.4680","4.5420","4.4430","1.57%"
"12/17/2024","4.4660","4.4710","4.4870","4.4590","0.11%"
"12/16/2024","4.4610","4.4670","4.4690","4.4430","0.09%"
"12/13/2024","4.4570","4.4350","4.4660","4.4320","0.63%"
"12/12/2024","4.4290","4.4160","4.4380","4.3950","0.32%"
"12/11/2024","4.4150","4.4220","4.4420","4.3760","-0.25%"
"12/10/2024","4.4260","4.4130","4.4410","4.4070","0.41%"
"12/09/2024","4.4080","4.4040","4.4160","4.3960","0.25%"
"12/06/2024","4.3970","4.4500","4.4810","4.3810","-1.19%"
"12/05/2024","4.4500","4.4420","4.4670","4.4400","0.32%"
"12/04/2024","4.4360","4.4820","4.4970","4.4320","-0.89%"
"12/03/2024","4.4760","4.5080","4.5080","4.4650","-1.47%"
"12/02/2024","4.5430","4.5120","4.5590","4.4950","0.15%"
"11/29/2024","4.5360","4.5300","4.5430","4.4980","0.00%"
"11/28/2024","4.5360","4.5430","4.5460","4.5420","0.00%"
"11/27/2024","4.5360","4.5630","4.5700","4.5210","-0.83%"
"11/26/2024","4.5740","4.5710","4.5970","4.5520","0.02%"
"11/25/2024","4.5730","4.5940","4.6060","4.5650","-0.72%"
"11/22/2024","4.6060","4.5990","4.6170","4.5700","0.79%"
"11/21/2024","4.5700","4.5770","4.6010","4.5600","0.00%"
"11/20/2024","4.5700","4.5570","4.5790","4.5570","0.42%"
"11/19/2024","4.5510","4.5440","4.5590","4.5020","0.07%"
"11/18/2024","4.5480","4.5540","4.5890","4.5440","-0.07%"
"11/15/2024","4.5510","4.5830","4.6000","4.5320","0.89%"
"11/14/2024","4.5110","4.5170","4.6000","4.4950","0.00%"
"11/13/2024","4.5110","4.5970","4.6060","4.5020","-0.66%"
"11/12/2024","4.5410","4.5550","4.5550","4.5520","0.00%"
"11/11/2024","4.5410","4.5550","4.5540","4.5540","0.04%"
"11/08/2024","4.5390","4.4810","4.5470","4.4760","0.35%"
"11/07/2024","4.5230","4.5210","4.5340","4.4680","0.00%"
"11/06/2024","4.5230","4.4620","4.5390","4.4500","1.05%"
"11/05/2024","4.4760","4.4530","4.4930","4.4460","0.45%"
"11/04/2024","4.4560","4.4370","4.4590","4.4190","-0.31%"
"11/01/2024","4.4700","4.4680","4.4910","4.3720","0.43%"
"10/31/2024","4.4510","4.4770","4.4960","4.4530","0.00%"
"10/30/2024","4.4510","4.4260","4.4770","4.4050","0.25%"
"10/29/2024","4.4400","4.4720","4.4750","4.4160","-0.52%"
"10/28/2024","4.4630","4.4560","4.4800","4.4380","0.34%"
"10/25/2024","4.4480","4.4490","4.4600","4.4040","-0.60%"
