Date,10yr_yield
12/02/1987,0.09116229
12/03/1987,0.09061022
12/04/1987,0.09067793
12/07/1987,0.0917761
12/08/1987,0.0920344
12/09/1987,0.09178299
12/10/1987,0.09303539
12/11/1987,0.09395396
12/14/1987,0.09344402
12/15/1987,0.09232418
12/16/1987,0.09112643
12/17/1987,0.0914094
12/18/1987,0.08983544
12/21/1987,0.08996337
12/22/1987,0.09052803
12/23/1987,0.08903084
12/24/1987,0.08873477
12/28/1987,0.09007887
12/29/1987,0.08908484
12/30/1987,0.08871952
12/31/1987,0.08947757
01/04/1988,0.08937289
01/05/1988,0.08891737
01/06/1988,0.08978743
01/07/1988,0.09000287
01/08/1988,0.09137259
01/11/1988,0.09132213
01/12/1988,0.09113397
01/13/1988,0.09041631
01/14/1988,0.09030719
01/15/1988,0.08785169
01/19/1988,0.08803337
01/20/1988,0.08783256
01/21/1988,0.0867959
01/22/1988,0.08654204
01/25/1988,0.0860742
01/26/1988,0.08721014
01/27/1988,0.0855789
01/28/1988,0.08527382
01/29/1988,0.08484067
02/01/1988,0.08487171
02/02/1988,0.08371299
02/03/1988,0.08461157
02/04/1988,0.08490097
02/05/1988,0.08406505
02/08/1988,0.08425514
02/09/1988,0.08399431
02/10/1988,0.08351408
02/11/1988,0.08403359
02/12/1988,0.08514646
02/16/1988,0.08542789
02/17/1988,0.08554317
02/18/1988,0.08509741
02/19/1988,0.08497609
02/22/1988,0.08467361
02/23/1988,0.08395872
02/24/1988,0.08405534
02/25/1988,0.08456288
02/26/1988,0.08407451
02/29/1988,0.08361009
03/01/1988,0.08376591
03/02/1988,0.08353397
03/03/1988,0.08343814
03/04/1988,0.0850772
03/07/1988,0.08509794
03/08/1988,0.08555667
03/09/1988,0.08559159
03/10/1988,0.08593689
03/11/1988,0.08526074
03/14/1988,0.08516703
03/15/1988,0.08524609
03/16/1988,0.08601856
03/17/1988,0.08544681
03/18/1988,0.08694503
03/21/1988,0.08730361
03/22/1988,0.08713109
03/23/1988,0.08710624
03/24/1988,0.08740011
03/25/1988,0.08666702
03/28/1988,0.08783527
03/29/1988,0.08791402
03/30/1988,0.08808699
03/31/1988,0.08762926
04/04/1988,0.08874706
04/05/1988,0.08858015
04/06/1988,0.08811561
04/07/1988,0.08805195
04/08/1988,0.08706274
04/11/1988,0.08791973
04/12/1988,0.08784808
04/13/1988,0.08753448
04/14/1988,0.08907024
04/15/1988,0.08976067
04/18/1988,0.0903998
04/19/1988,0.09047499
04/20/1988,0.09075513
04/21/1988,0.09047782
04/22/1988,0.08986267
04/25/1988,0.08975729
04/26/1988,0.08977339
04/27/1988,0.08987067
04/28/1988,0.09054316
04/29/1988,0.09068746
05/02/1988,0.09123643
05/03/1988,0.09070257
05/04/1988,0.09065704
05/05/1988,0.09080727
05/06/1988,0.09156031
05/09/1988,0.09165478
05/10/1988,0.092149
05/11/1988,0.09251398
05/12/1988,0.09225893
05/13/1988,0.09146238
05/16/1988,0.09144889
05/17/1988,0.09245144
05/18/1988,0.09301813
05/19/1988,0.09286499
05/20/1988,0.09338782
05/23/1988,0.09366027
05/24/1988,0.09377921
05/25/1988,0.09346214
05/26/1988,0.09325351
05/27/1988,0.09356578
05/31/1988,0.09277837
06/01/1988,0.09040413
06/02/1988,0.09132336
06/03/1988,0.08999262
06/06/1988,0.09001324
06/07/1988,0.09045835
06/08/1988,0.08976286
06/09/1988,0.08982078
06/10/1988,0.08967187
06/13/1988,0.08949357
06/14/1988,0.08744123
06/15/1988,0.08788541
06/16/1988,0.08973905
06/17/1988,0.09104852
06/20/1988,0.09104674
06/21/1988,0.09120525
06/22/1988,0.08982129
06/23/1988,0.08959128
06/24/1988,0.08931916
06/27/1988,0.09034386
06/28/1988,0.08958355
06/29/1988,0.08957924
06/30/1988,0.08894937
07/01/1988,0.08874863
07/05/1988,0.08799843
07/06/1988,0.08877438
07/07/1988,0.08933461
07/08/1988,0.09143794
07/11/1988,0.09121043
07/12/1988,0.09191248
07/13/1988,0.09213532
07/14/1988,0.09228889
07/15/1988,0.09189517
07/18/1988,0.09279605
07/19/1988,0.09241195
07/20/1988,0.09241659
07/21/1988,0.09300441
07/22/1988,0.09270029
07/25/1988,0.09242778
07/26/1988,0.09243747
07/27/1988,0.0929006
07/28/1988,0.09326429
07/29/1988,0.09283987
08/01/1988,0.09203369
08/02/1988,0.09109442
08/03/1988,0.09156177
08/04/1988,0.09111633
08/05/1988,0.09197391
08/08/1988,0.09176764
08/09/1988,0.09234322
08/10/1988,0.0938038
08/11/1988,0.09417004
08/12/1988,0.09430456
08/15/1988,0.09377765
08/16/1988,0.09325426
08/17/1988,0.0938409
08/18/1988,0.09381617
08/19/1988,0.09358201
08/22/1988,0.09371232
08/23/1988,0.09322452
08/24/1988,0.09343893
08/25/1988,0.09425303
08/26/1988,0.09401034
08/29/1988,0.09316258
08/30/1988,0.09266432
08/31/1988,0.09244742
09/01/1988,0.09255278
09/02/1988,0.08969995
09/06/1988,0.09003775
09/07/1988,0.09027403
09/08/1988,0.08996231
09/09/1988,0.08968495
09/12/1988,0.09001617
09/13/1988,0.08982176
09/14/1988,0.08920922
09/15/1988,0.08945221
09/16/1988,0.08969215
09/19/1988,0.09006143
09/20/1988,0.08975986
09/21/1988,0.08949676
09/22/1988,0.08984314
09/23/1988,0.08981897
09/26/1988,0.09009711
09/27/1988,0.09044955
09/28/1988,0.09062932
09/29/1988,0.08961143
09/30/1988,0.08870435
10/03/1988,0.0885784
10/04/1988,0.0888191
10/05/1988,0.08864394
10/06/1988,0.08834275
10/07/1988,0.08714454
10/11/1988,0.08767362
10/12/1988,0.08864681
10/13/1988,0.08873202
10/14/1988,0.0882516
10/17/1988,0.08828011
10/18/1988,0.0882372
10/19/1988,0.08867119
10/20/1988,0.08856977
10/21/1988,0.08882032
10/24/1988,0.08881121
10/25/1988,0.08880538
10/26/1988,0.0886895
10/27/1988,0.08787504
10/28/1988,0.08754681
10/31/1988,0.08676178
11/01/1988,0.08691112
11/02/1988,0.08734157
11/03/1988,0.08687846
11/04/1988,0.08836562
11/07/1988,0.08902988
11/08/1988,0.08887588
11/09/1988,0.08919644
11/10/1988,0.0890574
11/14/1988,0.08886534
11/15/1988,0.08886087
11/16/1988,0.08954788
11/17/1988,0.08995187
11/18/1988,0.08991404
11/21/1988,0.08973176
11/22/1988,0.09008754
11/23/1988,0.09010588
11/25/1988,0.09074268
11/28/1988,0.09078167
11/29/1988,0.09061113
11/30/1988,0.08997845
12/01/1988,0.08962238
12/02/1988,0.09095791
12/05/1988,0.09045368
12/06/1988,0.08880444
12/07/1988,0.08881729
12/08/1988,0.08912978
12/09/1988,0.08957493
12/12/1988,0.08963269
12/13/1988,0.09033811
12/14/1988,0.09053808
12/15/1988,0.09060306
12/16/1988,0.09052565
12/19/1988,0.0903052
12/20/1988,0.08963988
12/21/1988,0.089554
12/22/1988,0.08938916
12/23/1988,0.08934545
12/27/1988,0.08982251
12/28/1988,0.09055412
12/29/1988,0.09047481
12/30/1988,0.09006404
01/03/1989,0.09098053
01/04/1989,0.09104157
01/05/1989,0.09158747
01/06/1989,0.09104348
01/09/1989,0.09100875
01/10/1989,0.09100632
01/11/1989,0.09121541
01/12/1989,0.0902048
01/13/1989,0.08936124
01/17/1989,0.08930163
01/18/1989,0.08855153
01/19/1989,0.08866033
01/20/1989,0.08882654
01/23/1989,0.08865613
01/24/1989,0.08808518
01/25/1989,0.08836968
01/26/1989,0.08832454
01/27/1989,0.08818099
01/30/1989,0.08835446
01/31/1989,0.08826972
02/01/1989,0.08835906
02/02/1989,0.08827258
02/03/1989,0.08835113
02/06/1989,0.08819674
02/07/1989,0.08774943
02/08/1989,0.08780163
02/09/1989,0.08996337
02/10/1989,0.0906271
02/13/1989,0.09070834
02/14/1989,0.0908947
02/15/1989,0.09068009
02/16/1989,0.09062767
02/17/1989,0.0906871
02/21/1989,0.09072842
02/22/1989,0.09143255
02/23/1989,0.09199814
02/24/1989,0.09224345
02/27/1989,0.09190793
02/28/1989,0.09147116
03/01/1989,0.09179653
03/02/1989,0.09136768
03/03/1989,0.09119218
03/06/1989,0.09084183
03/07/1989,0.09066812
03/08/1989,0.09037589
03/09/1989,0.09037406
03/10/1989,0.09127153
03/13/1989,0.09132669
03/14/1989,0.09096986
03/15/1989,0.0909569
03/16/1989,0.09082457
03/17/1989,0.09281434
03/20/1989,0.09280983
03/21/1989,0.09281421
03/22/1989,0.09217534
03/23/1989,0.09200644
03/27/1989,0.09194119
03/28/1989,0.09164488
03/29/1989,0.09123891
03/30/1989,0.09112258
03/31/1989,0.09073908
04/03/1989,0.09015862
04/04/1989,0.08978211
04/05/1989,0.08973873
04/06/1989,0.09009422
04/07/1989,0.09084241
04/10/1989,0.09074991
04/11/1989,0.09091461
04/12/1989,0.09091692
04/13/1989,0.09111626
04/14/1989,0.08998138
04/17/1989,0.09025073
04/18/1989,0.08893844
04/19/1989,0.08913131
04/20/1989,0.09013296
04/21/1989,0.08975191
04/24/1989,0.08974778
04/25/1989,0.08958149
04/26/1989,0.08953801
04/27/1989,0.08923696
04/28/1989,0.0890119
05/01/1989,0.0900361
05/02/1989,0.08955264
05/03/1989,0.0892414
05/04/1989,0.0894131
05/05/1989,0.0887208
05/08/1989,0.08926042
05/09/1989,0.09034302
05/10/1989,0.09074198
05/11/1989,0.09033754
05/12/1989,0.08761196
05/15/1989,0.08736062
05/16/1989,0.08746202
05/17/1989,0.08710764
05/18/1989,0.0866713
05/19/1989,0.08595397
05/22/1989,0.08479045
05/23/1989,0.08506041
05/24/1989,0.08535231
05/25/1989,0.085611
05/26/1989,0.08550376
05/30/1989,0.08532227
05/31/1989,0.08515127
06/01/1989,0.08516126
06/02/1989,0.08417061
06/05/1989,0.08352373
06/06/1989,0.08330857
06/07/1989,0.08256242
06/08/1989,0.08243339
06/09/1989,0.08103186
06/12/1989,0.08112532
06/13/1989,0.08193851
06/14/1989,0.08156639
06/15/1989,0.08264762
06/16/1989,0.08295193
06/19/1989,0.08321403
06/20/1989,0.08262949
06/21/1989,0.08293929
06/22/1989,0.08321653
06/23/1989,0.08210204
06/26/1989,0.08137704
06/27/1989,0.08062331
06/28/1989,0.08125859
06/29/1989,0.08089624
06/30/1989,0.08082265
07/03/1989,0.08089801
07/05/1989,0.08127278
07/06/1989,0.08084765
07/07/1989,0.08029965
07/10/1989,0.07979046
07/11/1989,0.07993285
07/12/1989,0.07996492
07/13/1989,0.07978792
07/14/1989,0.08028898
07/17/1989,0.08024377
07/18/1989,0.08092149
07/19/1989,0.08059806
07/20/1989,0.07992251
07/21/1989,0.08023862
07/24/1989,0.08017295
07/25/1989,0.07990472
07/26/1989,0.07970305
07/27/1989,0.07905403
07/28/1989,0.07854557
07/31/1989,0.07783053
08/01/1989,0.07708528
08/02/1989,0.07724565
08/03/1989,0.0776605
08/04/1989,0.07940479
08/07/1989,0.07953122
08/08/1989,0.07953859
08/09/1989,0.07970087
08/10/1989,0.07972622
08/11/1989,0.08039505
08/14/1989,0.08188454
08/15/1989,0.08155886
08/16/1989,0.08089993
08/17/1989,0.08121111
08/18/1989,0.08106542
08/21/1989,0.08165504
08/22/1989,0.08229175
08/23/1989,0.08183492
08/24/1989,0.08141626
08/25/1989,0.08150263
08/28/1989,0.0820733
08/29/1989,0.08183941
08/30/1989,0.08174578
08/31/1989,0.08187148
09/01/1989,0.08122608
09/05/1989,0.08100253
09/06/1989,0.08096871
09/07/1989,0.08114167
09/08/1989,0.08095813
09/11/1989,0.08086994
09/12/1989,0.08093723
09/13/1989,0.08137179
09/14/1989,0.08111192
09/15/1989,0.08074695
09/18/1989,0.0806305
09/19/1989,0.08056349
09/20/1989,0.08105452
09/21/1989,0.08150378
09/22/1989,0.08174615
09/25/1989,0.08279004
09/26/1989,0.08236369
09/27/1989,0.08244023
09/28/1989,0.08255878
09/29/1989,0.08251283
10/02/1989,0.08208021
10/03/1989,0.08185608
10/04/1989,0.0815647
10/05/1989,0.08099383
10/06/1989,0.08009394
10/10/1989,0.08011715
10/11/1989,0.0804092
10/12/1989,0.0801462
10/13/1989,0.08026422
10/16/1989,0.07987847
10/17/1989,0.08026766
10/18/1989,0.0805338
10/19/1989,0.07986048
10/20/1989,0.07990152
10/23/1989,0.07934133
10/24/1989,0.07884155
10/25/1989,0.07887394
10/26/1989,0.07895034
10/27/1989,0.07945304
10/30/1989,0.07918383
10/31/1989,0.07908915
11/01/1989,0.07892569
11/02/1989,0.0785919
11/03/1989,0.07884137
11/06/1989,0.07941511
11/07/1989,0.07851402
11/08/1989,0.07847422
11/09/1989,0.07875247
11/10/1989,0.07884478
11/13/1989,0.07886729
11/14/1989,0.07873747
11/15/1989,0.07831101
11/16/1989,0.07820371
11/17/1989,0.07894859
11/20/1989,0.07880588
11/21/1989,0.07850203
11/22/1989,0.07828102
11/24/1989,0.07806869
11/27/1989,0.07821924
11/28/1989,0.07814759
11/29/1989,0.07836781
11/30/1989,0.07797534
12/01/1989,0.07770977
12/04/1989,0.07765803
12/05/1989,0.0776815
12/06/1989,0.07794347
12/07/1989,0.078176
12/08/1989,0.07781297
12/11/1989,0.0778658
12/12/1989,0.07791924
12/13/1989,0.07783812
12/14/1989,0.07761747
12/15/1989,0.07781023
12/18/1989,0.07733163
12/19/1989,0.0775334
12/20/1989,0.07740529
12/21/1989,0.07747667
12/22/1989,0.07790245
12/26/1989,0.07939846
12/27/1989,0.07920218
12/28/1989,0.07898977
12/29/1989,0.07910739
01/02/1990,0.07936529
01/03/1990,0.07982778
01/04/1990,0.07971624
01/05/1990,0.07987786
01/08/1990,0.08013314
01/09/1990,0.08013938
01/10/1990,0.08018291
01/11/1990,0.08013101
01/12/1990,0.08074022
01/16/1990,0.08159346
01/17/1990,0.08148148
01/18/1990,0.0825274
01/19/1990,0.08191143
01/22/1990,0.08207202
01/23/1990,0.08189001
01/24/1990,0.08302698
01/25/1990,0.08348392
01/26/1990,0.08429788
01/29/1990,0.08419958
01/30/1990,0.08440907
01/31/1990,0.08357263
02/01/1990,0.08329587
02/02/1990,0.08391116
02/05/1990,0.08419949
02/06/1990,0.08465432
02/07/1990,0.0846482
02/08/1990,0.08425931
02/09/1990,0.08279995
02/12/1990,0.08358364
02/13/1990,0.08324586
02/14/1990,0.08324109
02/15/1990,0.08374131
02/16/1990,0.08379589
02/20/1990,0.08567345
02/21/1990,0.08570219
02/22/1990,0.08483107
02/23/1990,0.0848116
02/26/1990,0.08411954
02/27/1990,0.08359853
02/28/1990,0.08462364
03/01/1990,0.08527616
03/02/1990,0.08479857
03/05/1990,0.08588815
03/06/1990,0.08533712
03/07/1990,0.08516951
03/08/1990,0.08496371
03/09/1990,0.08560453
03/12/1990,0.08568649
03/13/1990,0.08646821
03/14/1990,0.08567056
03/15/1990,0.08572407
03/16/1990,0.08503671
03/19/1990,0.08513403
03/20/1990,0.08437094
03/21/1990,0.08437015
03/22/1990,0.08444751
03/23/1990,0.0843423
03/26/1990,0.08420882
03/27/1990,0.08422996
03/28/1990,0.08431989
03/29/1990,0.08494495
03/30/1990,0.08564002
04/02/1990,0.08569268
04/03/1990,0.08559073
04/04/1990,0.08469789
