"Date","Price","Open","High","Low","Change %"
"01/15/2025","4.4900","4.5117","4.5120","4.4850","-0.21%"
"01/14/2025","4.4996","4.5187","4.5310","4.4351","-0.71%"
"01/13/2025","4.5320","4.4966","4.6125","4.4966","0.47%"
"01/10/2025","4.5108","4.3590","4.5229","4.3470","3.51%"
"01/09/2025","4.3580","4.3782","4.3930","4.3494","-0.84%"
"01/08/2025","4.3950","4.3932","4.4250","4.3633","-0.18%"
"01/07/2025","4.4030","4.3763","4.4504","4.3550","0.73%"
"01/06/2025","4.3710","4.3599","4.3830","4.3188","0.32%"
"01/03/2025","4.3570","4.3182","4.3600","4.2990","0.85%"
"01/02/2025","4.3203","4.3224","4.3473","4.2749","-0.05%"
"01/01/2025","4.3224","4.3224","4.3224","4.3224","0.00%"
"12/31/2024","4.3224","4.3049","4.3550","4.2883","0.10%"
"12/30/2024","4.3180","4.3952","4.4120","4.3009","-1.68%"
"12/27/2024","4.3920","4.3820","4.3973","4.3587","0.22%"
"12/26/2024","4.3822","4.3890","4.4264","4.3750","-0.15%"
"12/25/2024","4.3890","4.3890","4.3971","4.3886","0.00%"
"12/24/2024","4.3890","4.3927","4.4312","4.3833","-0.36%"
"12/23/2024","4.4050","4.3576","4.4060","4.3494","1.22%"
"12/20/2024","4.3520","4.3830","4.3870","4.3021","-0.64%"
"12/19/2024","4.3800","4.4020","4.4050","4.3460","0.02%"
"12/18/2024","4.3790","4.2680","4.3990","4.2328","2.82%"
"12/17/2024","4.2590","4.2650","4.3162","4.2460","-0.07%"
"12/16/2024","4.2620","4.2545","4.2670","4.2190","0.38%"
"12/13/2024","4.2457","4.1973","4.2570","4.1840","1.33%"
"12/12/2024","4.1900","4.1530","4.2040","4.0947","0.89%"
"12/11/2024","4.1530","4.1290","4.2882","4.0619","0.56%"
"12/10/2024","4.1300","4.1043","4.1510","4.0856","0.63%"
"12/09/2024","4.1041","4.0861","4.1110","4.0595","0.62%"
"12/06/2024","4.0790","4.1210","4.1630","4.0380","-1.02%"
"12/05/2024","4.1210","4.1130","4.1590","4.1093","0.43%"
"12/04/2024","4.1035","4.1600","4.1971","4.0964","-1.12%"
"12/03/2024","4.1500","4.1520","4.1680","4.1191","-1.01%"
"12/02/2024","4.1923","4.1461","4.2356","4.1340","0.13%"
"11/29/2024","4.1870","4.1992","4.2130","4.1366","0.00%"
"11/28/2024","4.1870","4.1999","4.2130","4.1937","0.00%"
"11/27/2024","4.1870","4.2380","4.2500","4.1660","-1.48%"
"11/26/2024","4.2500","4.2280","4.2730","4.2074","0.54%"
"11/25/2024","4.2270","4.2850","4.3310","4.2169","-2.04%"
"11/22/2024","4.3150","4.3137","4.3308","4.2750","0.82%"
"11/21/2024","4.2800","4.2850","4.3258","4.2450","0.00%"
"11/20/2024","4.2800","4.2600","4.2930","4.2430","0.81%"
"11/19/2024","4.2458","4.2603","4.2700","4.1830","0.30%"
"11/18/2024","4.2330","4.2812","4.3480","4.2310","-1.01%"
"11/15/2024","4.2762","4.3230","4.3620","4.2438","0.19%"
"11/14/2024","4.2680","4.2701","4.3412","4.2315","0.00%"
"11/13/2024","4.2680","4.3124","4.3403","4.2160","-1.14%"
"11/12/2024","4.3170","4.2215","4.3425","4.2210","2.26%"
"11/11/2024","4.2215","4.2215","4.2215","4.2215","0.03%"
"11/08/2024","4.2201","4.1709","4.2390","4.1240","-0.75%"
"11/07/2024","4.2520","4.2520","4.2680","4.1469","0.00%"
"11/06/2024","4.2520","4.1400","4.2850","4.1111","2.28%"
"11/05/2024","4.1572","4.1280","4.2220","4.1115","0.46%"
"11/04/2024","4.1380","4.1045","4.1500","4.0795","-0.39%"
"11/01/2024","4.1544","4.1310","4.1930","4.0189","1.08%"
"10/31/2024","4.1100","4.1480","4.1820","4.1020","0.00%"
"10/30/2024","4.1100","4.0470","4.1540","4.0170","1.03%"
"10/29/2024","4.0680","4.1020","4.1342","4.0440","-0.61%"
"10/28/2024","4.0930","4.0890","4.1143","4.0414","0.94%"
"10/25/2024","4.0550","4.0330","4.0730","3.9810","-0.22%"
"10/24/2024","4.0640","4.0650","4.0720","3.9940","0.00%"
"10/23/2024","4.0640","3.9900","4.0700","3.9860","1.35%"
"10/22/2024","4.0100","4.0000","4.0280","3.9698","0.60%"
"10/21/2024","3.9860","3.9084","4.0100","3.8951","2.18%"
"10/18/2024","3.9010","3.9140","3.9364","3.8840","0.75%"
"10/17/2024","3.8720","3.8750","3.9378","3.8730","0.00%"
"10/16/2024","3.8720","3.8920","3.8940","3.8530","-0.41%"
"10/15/2024","3.8880","3.9280","3.9370","3.8700","-0.70%"
"10/14/2024","3.9153","3.9280","3.9342","3.8950","0.68%"
"10/11/2024","3.8890","3.9080","3.9475","3.8810","-1.39%"
"10/10/2024","3.9440","3.9640","4.0394","3.8940","-0.20%"
"10/09/2024","3.9520","3.8910","3.9700","3.8660","0.95%"
"10/08/2024","3.9150","3.9130","3.9295","3.8520","-0.48%"
"10/07/2024","3.9337","3.8540","3.9514","3.8440","2.41%"
"10/04/2024","3.8410","3.6440","3.8649","3.6040","8.11%"
"10/03/2024","3.5530","3.5640","3.6520","3.5470","0.00%"
"10/02/2024","3.5530","3.5160","3.5970","3.5000","0.85%"
