Date,3m_OIS_swap,6m_OIS_swap,1yr_OIS_swap,2yr_OIS_swap,3yr_OIS_swap,5yr_OIS_swap,7yr_OIS_swap,10yr_OIS_swap
01/02/1998,0.05492284,0.05507099,0.05511759,0.05475451,0.05423857,0.0533332,0.05269695,0.05209338
01/05/1998,0.05436373,0.05432722,0.05414587,0.05361969,0.05309141,0.05225851,0.05169775,0.05117345
01/06/1998,0.0541478,0.05402621,0.05374423,0.05315873,0.05264159,0.05186947,0.05136253,0.050893
01/07/1998,0.05421653,0.05406388,0.05372722,0.05305534,0.05247415,0.05161694,0.05105902,0.05054529
01/08/1998,0.05351039,0.05314488,0.05253582,0.05163885,0.05100186,0.05015845,0.04963892,0.04917031
01/09/1998,0.05263377,0.05204311,0.05116998,0.05012388,0.04952449,0.04885453,0.04848552,0.04816914
01/12/1998,0.05330856,0.05258986,0.0515506,0.05036082,0.0497191,0.04904368,0.04868882,0.04839156
01/13/1998,0.0538252,0.05310335,0.052051,0.0508231,0.05014168,0.04940131,0.04900147,0.04866144
01/14/1998,0.05381906,0.05317309,0.05221333,0.05104943,0.05037061,0.04959712,0.04916403,0.04878915
01/15/1998,0.05361689,0.05298078,0.05202927,0.05086208,0.05017353,0.04938344,0.04894023,0.04855724
01/16/1998,0.05393147,0.05339779,0.05257058,0.05148619,0.05079634,0.04995275,0.04945835,0.0490224
01/20/1998,0.05345089,0.05304674,0.05238461,0.05143505,0.05077739,0.04992365,0.04940558,0.04894259
01/21/1998,0.05328694,0.0528408,0.05212711,0.05114111,0.05048093,0.04964357,0.04914228,0.04869676
01/22/1998,0.05308677,0.05254876,0.05173187,0.05069961,0.05006842,0.04932099,0.04889256,0.04851887
01/23/1998,0.05373697,0.05328549,0.05256456,0.05157143,0.05090866,0.05007115,0.0495719,0.04912976
01/26/1998,0.05353228,0.05305098,0.05229564,0.05128507,0.05062994,0.0498201,0.04934421,0.04892561
01/27/1998,0.05407451,0.05370445,0.05308361,0.05216225,0.05150619,0.05064112,0.05011303,0.04964113
01/28/1998,0.05398164,0.0536576,0.05310734,0.05227615,0.05167512,0.05087346,0.05037989,0.0499365
01/29/1998,0.05340399,0.05296565,0.05227302,0.05133535,0.05072005,0.04995211,0.04949792,0.04909714
01/30/1998,0.05364789,0.05311758,0.05231618,0.05131226,0.05070417,0.04998915,0.04958079,0.04922482
02/02/1998,0.05380034,0.0533308,0.05260147,0.05164119,0.05102707,0.05027262,0.04982907,0.0494374
02/03/1998,0.05378029,0.05325795,0.05246121,0.05144556,0.05081798,0.05006747,0.0496338,0.04925367
02/04/1998,0.05374116,0.05317201,0.05232689,0.05130347,0.05070811,0.05003264,0.04965665,0.04933291
02/05/1998,0.0539825,0.05339943,0.05253498,0.0514919,0.05088821,0.050207,0.04982955,0.04950542
02/06/1998,0.05401761,0.05348384,0.05267771,0.05166793,0.05105569,0.05033509,0.0499236,0.04956528
02/09/1998,0.05394902,0.05351409,0.05283647,0.051939,0.05136135,0.05064848,0.05022856,0.04985779
02/10/1998,0.05404017,0.05357265,0.05284572,0.0518869,0.05127288,0.05051886,0.05007658,0.04968713
02/11/1998,0.05407148,0.05359077,0.05285508,0.05191096,0.05132308,0.05061593,0.05020613,0.04984683
02/12/1998,0.05397406,0.05353112,0.05283986,0.0519215,0.05132828,0.05059352,0.05015924,0.04977483
02/13/1998,0.05388366,0.05341927,0.05270517,0.05178091,0.05119994,0.05049525,0.05008415,0.04972224
02/17/1998,0.05381672,0.0533685,0.05267286,0.05175717,0.05117073,0.05044807,0.05002162,0.04964387
02/18/1998,0.05402162,0.05361993,0.05297846,0.05209302,0.051499,0.05074153,0.05028472,0.04987604
02/19/1998,0.05406988,0.05368851,0.05306925,0.05219193,0.05158946,0.05080946,0.05033534,0.04991017
02/20/1998,0.05415292,0.05379179,0.05320419,0.0523687,0.05179272,0.05104427,0.05058784,0.05017758
02/23/1998,0.05436932,0.05404703,0.05349767,0.05266229,0.05205368,0.05123542,0.05072756,0.05026848
02/24/1998,0.05513679,0.05491122,0.05447836,0.05371963,0.05310959,0.0522421,0.05168734,0.05117972
02/25/1998,0.05456686,0.05443907,0.05412889,0.05346516,0.05287222,0.05198503,0.05140361,0.05086672
02/26/1998,0.05485549,0.05475891,0.05448346,0.05383328,0.05322696,0.05230087,0.051687,0.05111682
02/27/1998,0.0546539,0.0545444,0.05424931,0.05357502,0.05295532,0.05201665,0.05139818,0.05082608
03/02/1998,0.05477332,0.05472137,0.05449327,0.05385611,0.05322645,0.05224351,0.05158666,0.0509756
03/03/1998,0.05482525,0.05479779,0.05460302,0.05399889,0.05338348,0.05241269,0.05176191,0.05115657
03/04/1998,0.05449669,0.05452244,0.05439688,0.05385515,0.05326258,0.05230679,0.05166172,0.05106149
03/05/1998,0.05438684,0.0543769,0.05422189,0.05370083,0.05316063,0.05230585,0.0517338,0.05120323
03/06/1998,0.05439217,0.05429268,0.0540305,0.05344014,0.05290193,0.0520916,0.05156054,0.05107133
